degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
M.Sc,Information Technology,7.54,96.8,79.2,"AWS, SQL, Linux","Cyber Security:A-,Database Management Systems:B,Computer Networks:A-,Web Technologies:A-,Cloud Computing:B+","E-commerce API: Node.js, Express, MongoDB",,1,Research Analyst
B.Tech,Civil Engineering,8.02,82.8,85.3,"Estimation, Project Management, Site Supervision","Construction Management:A,Geotechnical Engineering:A,AutoCAD:A-,Structural Analysis:C","Smart City Drainage: STAAD Pro, Surveying",Site Engineer:5 months; Structural Intern:5 months,5,Site Engineer
M.Tech,Artificial Intelligence,7.84,81.7,74.3,"Python, Data Analysis, PyTorch","Statistics:A-,Linear Algebra:C,Deep Learning:A","Customer Segmentation: Python, Scikit-learn, K-means; NLP Chatbot: Python, NLTK, Flask",Machine Learning Engineer:6 months,3,Data Analyst
M.Tech,Computer Science,8.66,72.1,73.2,"Java, System Design, Python","Data Structures and Algorithms:A-,Computer Networks:A-,Compiler Design:A,Web Development:A-,DBMS:B+","Disease Detection: Deep Learning, PyTorch, CNN; Customer Segmentation: Python, Scikit-learn, K-means",Data Analyst:3 months,1,Data Analyst
MA,Computer Science,8.74,80.6,91.9,"Python, System Design, C++, Git, Java","DBMS:B,Computer Networks:C,Operating Systems:B","Agile Product Launch: Jira, Scrum; Brand Revitalization: Marketing, Social Media",,3,Product Manager
B.Tech,Data Science,9.69,73.3,98.0,"R, Python, Tableau, Power BI","Big Data Analytics:C,Statistics:A-,Machine Learning:A-,Data Mining:C","Disease Detection: Deep Learning, PyTorch, CNN",,7,Data Scientist
BBA,Finance,7.99,90.1,90.6,"GST, Financial Modeling, Excel","Financial Management:A+,Corporate Finance:A-,Accounting:A","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",Tax Consultant:1 months; Tax Consultant:6 months,2,Accountant
M.Tech,Data Science,8.28,74.2,82.0,"Python, Power BI, Tableau, SQL, R","Linear Algebra:B,Data Mining:B+,Statistics:A,Big Data Analytics:B,Machine Learning:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:3 months,1,Backend Developer
Diploma,Civil Engineering,9.69,94.6,73.9,"Estimation, Project Management, Site Supervision","Construction Management:C,Geotechnical Engineering:C,Structural Analysis:A-,STAAD Pro:A+","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:5 months; Site Engineer:4 months,10,Civil Engineer
Diploma,Civil Engineering,9.47,86.6,86.6,"Estimation, Project Management, Site Supervision","STAAD Pro:A+,AutoCAD:A+,Construction Management:B+,Geotechnical Engineering:B+,Structural Analysis:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Site Engineer:2 months; Structural Intern:1 months,9,Civil Engineer
MA,Human Resources,8.4,85.2,84.7,"Communication, Recruiting, Employee Relations","Performance Management:A,HR Management:B,Labor Laws:C,Training and Development:A","Task Management App: React, Redux, Firebase",Backend Developer:2 months,2,Teaching Professional
B.Sc,Computer Science,7.2,91.0,94.7,"C++, Java, System Design, Git","Operating Systems:C,DBMS:B,Web Development:C,Data Structures and Algorithms:A","E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:5 months,3,Mechanical Engineer
BCA,Data Science,7.23,92.9,71.6,"Tableau, R, Power BI","Linear Algebra:B+,Big Data Analytics:B+,Statistics:B","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",,3,Backend Developer
BBA,Marketing,8.76,87.4,93.6,"Google Analytics, Content Strategy, Social Media, SEO","Digital Marketing:A-,Market Research:A-,Marketing Management:A,Consumer Behavior:C","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:2 months,8,Marketing Specialist
Diploma,Civil Engineering,9.13,89.2,85.3,"Site Supervision, Estimation, Project Management","AutoCAD:C,Construction Management:A-,Structural Analysis:A,STAAD Pro:B+","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",,9,Construction Manager
Diploma,Civil Engineering,8.12,72.6,75.5,"Estimation, Project Management, Site Supervision","Construction Management:A,Structural Analysis:B+,AutoCAD:A-,Geotechnical Engineering:B","Residential Complex Planning: Revit, Cost Estimation",Structural Intern:1 months; Quantity Surveyor:2 months,7,Structural Engineer
B.Tech,Civil Engineering,9.65,81.0,82.0,"Estimation, Site Supervision, Project Management","AutoCAD:A+,Construction Management:B+,Structural Analysis:C,Geotechnical Engineering:B","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:5 months; Site Engineer:1 months,7,Site Engineer
B.Tech,Data Science,9.02,97.7,75.5,"Power BI, R, SQL","Machine Learning:A-,Big Data Analytics:B,Statistics:A-,Linear Algebra:B+,Data Mining:A","Task Management App: React, Redux, Firebase",,2,Full Stack Developer
BCA,Information Technology,7.22,89.4,79.0,"AWS, Network Administration, Linux, SQL","Cloud Computing:C,Cyber Security:C,Web Technologies:B,Computer Networks:C","NLP Chatbot: Python, NLTK, Flask; Disease Detection: Deep Learning, PyTorch, CNN",Data Scientist:4 months,3,Machine Learning Engineer
M.Sc,Economics,7.66,91.4,80.7,"Economic Research, Stata, Data Analysis","Public Finance:B+,Statistics:A,Microeconomics:A,Econometrics:B+,Macroeconomics:B+","Brand Revitalization: Marketing, Social Media; Market Entry Strategy: Research, Strategy",Business Analyst:6 months; Product Management:4 months,10,Business Analyst
MA,Human Resources,9.77,87.0,78.9,"Communication, Employee Relations, Recruiting","Labor Laws:B,Performance Management:B+,HR Management:A,Training and Development:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",,7,Research Analyst
M.Sc,Marketing,7.35,71.4,92.9,"SEO, Social Media, Content Strategy, Google Analytics","Digital Marketing:B,Marketing Management:C,Market Research:A","Task Management App: React, Redux, Firebase",Software Developer:6 months; DevOps Engineer:4 months,0,Teaching Professional
B.Sc,Economics,9.19,94.5,73.9,"Data Analysis, Economic Research, Stata","Macroeconomics:A-,Statistics:B+,Econometrics:A,Public Finance:C,Microeconomics:B+","Market Entry Strategy: Research, Strategy; Agile Product Launch: Jira, Scrum",Marketing Intern:5 months,2,Product Manager
BBA,Finance,8.41,76.4,80.9,"Financial Modeling, GST, Excel","Financial Management:A-,Corporate Finance:B,Investment Analysis:B+,Accounting:A-","GST Compliance Tool: Tally, SQL; Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:5 months; Tax Consultant:5 months,5,Accountant
MA,Computer Science,9.43,97.8,72.8,"Java, System Design, Git, Python","Compiler Design:C,Data Structures and Algorithms:B,Operating Systems:C,Computer Networks:B,DBMS:B","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:1 months; Frontend Developer:4 months,1,Economist
MBA,Finance,8.28,79.5,70.3,"Tally, Excel, Financial Modeling, GST","Risk Management:B,Corporate Finance:A,Investment Analysis:B+,Financial Management:A+,Accounting:B+","Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:3 months,10,Accountant
B.Sc,Civil Engineering,9.58,74.0,79.2,"Site Supervision, Estimation, Project Management","Structural Analysis:C,AutoCAD:B+,STAAD Pro:C,Geotechnical Engineering:B+","Task Management App: React, Redux, Firebase",,7,Economist
BBA,Finance,9.39,97.7,75.0,"Tally, Financial Modeling, Excel","Investment Analysis:B,Corporate Finance:B+,Financial Management:A,Accounting:A-","GST Compliance Tool: Tally, SQL; Risk Analysis Report: Financial Modeling, Valuation",Financial Analyst:1 months,2,Financial Analyst
Diploma,Civil Engineering,7.26,77.6,73.5,"Estimation, Site Supervision, Project Management","Geotechnical Engineering:C,Construction Management:B,AutoCAD:C,STAAD Pro:B+","Residential Complex Planning: Revit, Cost Estimation",,7,Construction Manager
M.Tech,Computer Science,7.57,80.5,88.0,"C++, System Design, Java","Data Structures and Algorithms:B+,Web Development:A-,Compiler Design:B","Stock Price Predictor: Python, TensorFlow, LSTM",,3,Machine Learning Engineer
B.Tech,Information Technology,8.89,70.5,88.3,"AWS, Linux, Network Administration","Computer Networks:B+,Cyber Security:B,Database Management Systems:A,Cloud Computing:A-","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Frontend Developer
BA,Civil Engineering,8.1,78.5,93.5,"Estimation, Project Management, Site Supervision","Structural Analysis:B+,STAAD Pro:B,Construction Management:B+,Geotechnical Engineering:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,0,Economist
B.Tech,Data Science,8.16,83.2,92.6,"Power BI, R, Tableau, SQL","Linear Algebra:B+,Machine Learning:B+,Data Mining:B+,Big Data Analytics:B","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",Data Scientist:6 months,3,Data Analyst
Diploma,Civil Engineering,9.37,71.4,70.9,"Estimation, Site Supervision, Project Management","Construction Management:A-,AutoCAD:A+,STAAD Pro:B","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:5 months,0,Site Engineer
M.Tech,Civil Engineering,8.96,97.0,75.8,"Site Supervision, Estimation, Project Management","Construction Management:B+,Geotechnical Engineering:B,AutoCAD:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Site Engineer:3 months; Site Engineer:5 months,1,Civil Engineer
MCA,Artificial Intelligence,9.63,84.1,96.3,"Python, TensorFlow, Data Analysis, PyTorch","Statistics:C,Linear Algebra:A-,Deep Learning:B,Machine Learning:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,1,DevOps Engineer
Diploma,Civil Engineering,7.81,74.9,78.8,"Site Supervision, Estimation, Project Management","Structural Analysis:B+,STAAD Pro:A+,AutoCAD:A","Smart City Drainage: STAAD Pro, Surveying",Site Engineer:2 months; Site Engineer:4 months,6,Structural Engineer
MA,Civil Engineering,8.6,88.3,87.6,"Site Supervision, Project Management, Estimation","Geotechnical Engineering:B+,Structural Analysis:B+,Construction Management:B+,STAAD Pro:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,7,Mechanical Engineer
MBA,Marketing,8.56,75.8,71.2,"SEO, Content Strategy, Google Analytics","Consumer Behavior:B+,Marketing Management:A-,Digital Marketing:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months,4,Marketing Specialist
B.Tech,Civil Engineering,9.74,93.6,78.9,"Site Supervision, Estimation, Project Management","Structural Analysis:B,Construction Management:C,STAAD Pro:A,AutoCAD:A-,Geotechnical Engineering:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Structural Intern:1 months,0,Site Engineer
MA,Artificial Intelligence,7.61,75.0,76.8,"PyTorch, Python, Data Analysis","NLP:A,Machine Learning:C,Linear Algebra:C","Task Management App: React, Redux, Firebase",DevOps Engineer:6 months; Software Developer:2 months,9,HR Manager
M.Com,Finance,7.52,83.0,77.6,"Tally, Excel, GST, Financial Modeling","Corporate Finance:C,Investment Analysis:A-,Accounting:C","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",Tax Consultant:2 months,10,Financial Analyst
MBA,Finance,8.68,96.6,91.4,"Tally, Excel, GST","Investment Analysis:B,Risk Management:A,Corporate Finance:A-","Portfolio Optimization: Python, Excel, Statistics; Risk Analysis Report: Financial Modeling, Valuation",Financial Analyst:4 months,1,Financial Analyst
BCA,Data Science,7.92,74.1,96.5,"Tableau, Python, Power BI, SQL","Big Data Analytics:B+,Linear Algebra:C,Statistics:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:5 months,6,Software Engineer
MBA,Finance,8.69,71.6,90.1,"Tally, Financial Modeling, Excel","Risk Management:B,Accounting:B,Financial Management:A+","Risk Analysis Report: Financial Modeling, Valuation; GST Compliance Tool: Tally, SQL",Tax Consultant:4 months,7,Accountant
MCA,Data Science,8.37,82.9,84.6,"Tableau, R, Power BI, SQL, Python","Statistics:C,Linear Algebra:A-,Machine Learning:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,7,Backend Developer
BBA,Marketing,9.39,83.8,72.3,"SEO, Content Strategy, Social Media, Google Analytics","Consumer Behavior:B+,Digital Marketing:A,Marketing Management:A-,Market Research:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,3,Marketing Specialist
BA,Marketing,8.85,87.7,78.1,"Google Analytics, Social Media, SEO, Content Strategy","Market Research:B+,Marketing Management:A,Consumer Behavior:A-,Digital Marketing:C,Brand Management:C","Task Management App: React, Redux, Firebase",Frontend Developer:6 months; Frontend Developer:6 months,6,Marketing Specialist
M.Sc,Marketing,9.77,94.9,73.9,"Google Analytics, Content Strategy, SEO, Social Media","Market Research:A,Consumer Behavior:B+,Marketing Management:B,Brand Management:B,Digital Marketing:A-","Market Entry Strategy: Research, Strategy",Business Analyst:5 months; Business Analyst:2 months,9,Business Analyst
M.Tech,Information Technology,9.31,97.4,88.6,"Network Administration, AWS, Linux, SQL","Computer Networks:A,Cloud Computing:B+,Web Technologies:B,Database Management Systems:B","NLP Chatbot: Python, NLTK, Flask",Machine Learning Engineer:1 months; Data Scientist:4 months,4,AI Engineer
MCA,Artificial Intelligence,9.06,92.9,96.9,"PyTorch, Data Analysis, TensorFlow","Deep Learning:C,Linear Algebra:C,Neural Networks:B+,Statistics:A,Machine Learning:B","Task Management App: React, Redux, Firebase",,1,Full Stack Developer
BCA,Information Technology,7.24,70.5,95.2,"Network Administration, SQL, AWS, Linux","Computer Networks:A,Cyber Security:B,Cloud Computing:C,Web Technologies:A-,Database Management Systems:A","Task Management App: React, Redux, Firebase",Software Developer:2 months; Software Developer:6 months,8,DevOps Engineer
MCA,Information Technology,8.21,92.0,94.1,"Network Administration, SQL, Linux, AWS","Cyber Security:B+,Computer Networks:B,Web Technologies:A,Database Management Systems:A","NLP Chatbot: Python, NLTK, Flask; Stock Price Predictor: Python, TensorFlow, LSTM",Data Scientist:4 months; Data Scientist:2 months,10,Data Analyst
MCA,Data Science,7.05,91.3,93.4,"SQL, R, Power BI, Tableau","Data Mining:C,Statistics:C,Linear Algebra:A-","Customer Segmentation: Python, Scikit-learn, K-means",Data Scientist:3 months; Data Analyst:4 months,8,AI Engineer
M.Tech,Data Science,7.2,75.7,75.8,"SQL, Power BI, R, Tableau","Statistics:A-,Big Data Analytics:B+,Machine Learning:A-,Linear Algebra:A+,Data Mining:B","NLP Chatbot: Python, NLTK, Flask",Data Analyst:1 months; Machine Learning Engineer:1 months,10,Machine Learning Engineer
BCA,Computer Science,7.1,80.0,95.6,"Git, Java, Python","Computer Networks:A,Web Development:B,Operating Systems:B+","Customer Segmentation: Python, Scikit-learn, K-means",Data Scientist:4 months; Data Analyst:2 months,7,Data Scientist
BCA,Information Technology,7.76,80.0,87.5,"SQL, Linux, AWS","Web Technologies:C,Cloud Computing:C,Computer Networks:C,Database Management Systems:A-","Task Management App: React, Redux, Firebase",,2,Backend Developer
BCA,Computer Science,7.39,81.4,71.9,"C++, Git, System Design, Python","Operating Systems:A-,DBMS:B+,Computer Networks:B+","Task Management App: React, Redux, Firebase",,3,Full Stack Developer
MA,Data Science,9.37,73.3,75.1,"Tableau, SQL, Python, Power BI, R","Linear Algebra:A,Machine Learning:C,Data Mining:B","Market Entry Strategy: Research, Strategy; Brand Revitalization: Marketing, Social Media",,0,Product Manager
BA,Artificial Intelligence,8.11,87.6,71.8,"PyTorch, Data Analysis, Python, TensorFlow","Statistics:B+,Deep Learning:A,Linear Algebra:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:2 months,10,Mechanical Engineer
BCA,Data Science,7.96,76.0,86.5,"Tableau, Python, Power BI","Linear Algebra:A+,Machine Learning:A,Statistics:B+,Data Mining:A-","NLP Chatbot: Python, NLTK, Flask",,1,AI Engineer
BCA,Computer Science,7.17,82.1,94.4,"System Design, C++, Python, Java, Git","Compiler Design:A,Operating Systems:B,Web Development:C","Customer Segmentation: Python, Scikit-learn, K-means",,6,Machine Learning Engineer
M.Sc,Mechanical Engineering,8.57,74.6,76.7,"Manufacturing, SolidWorks, MATLAB","Solid Mechanics:A-,Thermodynamics:A-,CAD/CAM:B+,Fluid Mechanics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:1 months; Frontend Developer:3 months,8,HR Manager
B.Sc,Finance,9.23,96.8,83.7,"Tally, Excel, Financial Modeling, GST","Financial Management:C,Corporate Finance:A,Risk Management:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",DevOps Engineer:6 months; Software Developer:3 months,7,HR Manager
M.Tech,Artificial Intelligence,7.3,81.9,93.2,"PyTorch, Python, TensorFlow","Statistics:A-,Neural Networks:B+,Deep Learning:B+,Linear Algebra:A-","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,4,Frontend Developer
MCA,Artificial Intelligence,8.3,72.8,74.9,"TensorFlow, Data Analysis, PyTorch, Python","Machine Learning:A-,Linear Algebra:A-,Statistics:A","Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:6 months; Data Analyst:1 months,0,Data Scientist
B.Com,Finance,8.58,87.0,85.5,"Financial Modeling, GST, Tally, Excel","Risk Management:B+,Investment Analysis:A,Corporate Finance:B+","GST Compliance Tool: Tally, SQL; Risk Analysis Report: Financial Modeling, Valuation",,10,Financial Analyst
BBA,Marketing,9.3,71.2,75.9,"Google Analytics, SEO, Content Strategy, Social Media","Marketing Management:A+,Consumer Behavior:B,Digital Marketing:B+,Market Research:B","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,0,Marketing Specialist
MA,Mechanical Engineering,7.44,90.0,89.7,"SolidWorks, Manufacturing, MATLAB","Fluid Mechanics:A-,Solid Mechanics:A,CAD/CAM:A","Market Entry Strategy: Research, Strategy",Marketing Intern:3 months; Marketing Intern:2 months,4,Business Analyst
M.Sc,Data Science,7.18,71.1,70.8,"Power BI, R, Python, SQL","Big Data Analytics:C,Statistics:A-,Linear Algebra:B+,Data Mining:B,Machine Learning:A","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:4 months,6,Mechanical Engineer
BCA,Information Technology,9.57,78.5,97.1,"Network Administration, SQL, Linux","Computer Networks:C,Web Technologies:B,Database Management Systems:A-,Cloud Computing:B,Cyber Security:A","Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:4 months; Data Scientist:6 months,2,AI Engineer
BCA,Data Science,8.49,75.6,84.9,"Power BI, Python, SQL, Tableau","Big Data Analytics:A,Data Mining:A-,Linear Algebra:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,6,Backend Developer
M.Tech,Civil Engineering,7.19,77.9,88.3,"Estimation, Site Supervision, Project Management","Construction Management:A,Geotechnical Engineering:B,STAAD Pro:A,AutoCAD:B+","Residential Complex Planning: Revit, Cost Estimation",Site Engineer:1 months,3,Construction Manager
B.Tech,Artificial Intelligence,8.52,81.5,74.9,"Data Analysis, Python, TensorFlow, PyTorch","Linear Algebra:B+,Neural Networks:C,Deep Learning:A-,NLP:B+,Statistics:A","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",,0,Data Analyst
MBA,Finance,7.3,71.1,73.8,"Financial Modeling, Tally, Excel, GST","Financial Management:A+,Investment Analysis:C,Accounting:C,Risk Management:B,Corporate Finance:A-","Portfolio Optimization: Python, Excel, Statistics",,2,Accountant
MA,Economics,7.74,80.3,82.6,"Data Analysis, Economic Research, Stata","Econometrics:A,Microeconomics:A,Public Finance:A-,Statistics:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:2 months; Software Developer:3 months,2,Economist
MA,Human Resources,9.28,71.5,88.0,"Communication, Employee Relations, Recruiting","HR Management:C,Performance Management:C,Labor Laws:A-,Training and Development:C","E-commerce API: Node.js, Express, MongoDB",Software Developer:4 months; DevOps Engineer:2 months,6,UX Designer
M.Tech,Data Science,9.27,92.4,86.6,"R, Power BI, Tableau, SQL","Big Data Analytics:A,Machine Learning:B,Statistics:B+","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,9,Frontend Developer
B.Tech,Data Science,8.91,98.0,76.1,"Power BI, Python, Tableau","Data Mining:A-,Big Data Analytics:A-,Statistics:A-,Linear Algebra:A","E-commerce API: Node.js, Express, MongoDB",Frontend Developer:6 months; Software Developer:6 months,7,DevOps Engineer
Diploma,Civil Engineering,8.45,91.6,87.1,"Site Supervision, Estimation, Project Management","Construction Management:B+,Geotechnical Engineering:A-,Structural Analysis:B+,AutoCAD:A+","Smart City Drainage: STAAD Pro, Surveying",,0,Civil Engineer
M.Sc,Finance,9.13,88.4,91.5,"GST, Financial Modeling, Tally, Excel","Investment Analysis:A-,Risk Management:B+,Accounting:A-,Corporate Finance:A-","Agile Product Launch: Jira, Scrum",,3,Business Analyst
M.Sc,Computer Science,7.4,75.5,86.2,"Java, C++, Python, Git","Data Structures and Algorithms:A-,Compiler Design:A-,DBMS:A-,Computer Networks:C,Web Development:C","Brand Revitalization: Marketing, Social Media; Agile Product Launch: Jira, Scrum",,0,Business Analyst
BBA,Marketing,8.66,73.9,88.3,"Google Analytics, SEO, Content Strategy, Social Media","Brand Management:A,Marketing Management:A,Digital Marketing:A-,Market Research:B+,Consumer Behavior:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:6 months,9,Marketing Specialist
M.Sc,Marketing,7.03,93.8,85.1,"SEO, Content Strategy, Google Analytics","Consumer Behavior:B,Brand Management:C,Marketing Management:A-,Market Research:A-,Digital Marketing:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",Backend Developer:4 months; Software Developer:6 months,2,Mechanical Engineer
Diploma,Civil Engineering,9.5,92.3,85.3,"Project Management, Estimation, Site Supervision","Geotechnical Engineering:B+,STAAD Pro:A,Construction Management:C,AutoCAD:A,Structural Analysis:A-","Smart City Drainage: STAAD Pro, Surveying",,1,Civil Engineer
MA,Information Technology,7.69,97.2,78.1,"SQL, Network Administration, AWS","Database Management Systems:B+,Web Technologies:B+,Cloud Computing:C","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",DevOps Engineer:3 months; DevOps Engineer:3 months,1,Teaching Professional
MA,Economics,8.29,93.5,78.7,"Data Analysis, Economic Research, Stata","Econometrics:C,Public Finance:A,Statistics:A-,Macroeconomics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",,0,Research Analyst
BA,Economics,9.37,84.2,72.2,"Economic Research, Stata, Data Analysis","Microeconomics:A,Econometrics:A-,Public Finance:B,Statistics:C,Macroeconomics:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,2,HR Manager
B.Tech,Data Science,8.07,90.8,87.2,"Python, R, Tableau","Linear Algebra:B,Machine Learning:B+,Statistics:B+","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:2 months; DevOps Engineer:1 months,0,Full Stack Developer
BCA,Computer Science,9.4,97.2,73.4,"Java, System Design, C++","Operating Systems:A,DBMS:B+,Compiler Design:A-,Web Development:A+,Data Structures and Algorithms:A-","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,0,Full Stack Developer
MBA,Finance,8.73,71.5,83.2,"GST, Excel, Financial Modeling","Corporate Finance:A,Accounting:C,Investment Analysis:C,Financial Management:A","Risk Analysis Report: Financial Modeling, Valuation",Financial Analyst:2 months,7,Financial Analyst
BCA,Computer Science,9.31,94.5,86.5,"Java, Python, Git, C++","DBMS:A,Compiler Design:A,Operating Systems:A,Web Development:B+,Computer Networks:B+","Disease Detection: Deep Learning, PyTorch, CNN; Customer Segmentation: Python, Scikit-learn, K-means",,9,Machine Learning Engineer
BCA,Data Science,7.16,77.9,80.2,"SQL, R, Python, Power BI, Tableau","Statistics:A-,Machine Learning:B,Linear Algebra:A-,Big Data Analytics:B,Data Mining:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",Backend Developer:1 months,8,Backend Developer
MA,Economics,7.39,72.6,85.3,"Stata, Data Analysis, Economic Research","Macroeconomics:A-,Statistics:A,Microeconomics:B,Econometrics:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,7,Research Analyst
BCA,Information Technology,9.76,84.0,84.9,"SQL, Linux, AWS, Network Administration","Cloud Computing:C,Computer Networks:B+,Cyber Security:C","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:5 months,1,DevOps Engineer
BCA,Computer Science,9.01,79.8,83.2,"Java, Python, Git","Web Development:A+,DBMS:B+,Computer Networks:B+,Operating Systems:C,Data Structures and Algorithms:B+","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Frontend Developer
B.Sc,Information Technology,7.7,95.1,91.0,"SQL, Linux, Network Administration, AWS","Cyber Security:B,Cloud Computing:B+,Computer Networks:B,Web Technologies:A,Database Management Systems:A","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:3 months; Backend Developer:4 months,7,Research Analyst
MA,Information Technology,8.85,80.9,84.5,"SQL, Network Administration, Linux, AWS","Database Management Systems:B,Cloud Computing:A,Web Technologies:C","E-commerce API: Node.js, Express, MongoDB",Backend Developer:5 months,4,UX Designer
M.Tech,Computer Science,7.03,80.5,79.3,"System Design, Java, C++","Operating Systems:B+,Web Development:A-,DBMS:A-,Data Structures and Algorithms:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,10,Frontend Developer
BA,Data Science,9.35,87.4,78.5,"Tableau, Python, R, SQL","Statistics:A-,Big Data Analytics:B+,Data Mining:B","E-commerce API: Node.js, Express, MongoDB",Frontend Developer:3 months; Backend Developer:2 months,6,HR Manager
MCA,Information Technology,8.28,94.6,79.2,"SQL, Network Administration, AWS, Linux","Web Technologies:B+,Computer Networks:B+,Cloud Computing:B+,Database Management Systems:A,Cyber Security:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",,3,Full Stack Developer
MCA,Computer Science,8.99,94.7,70.1,"C++, Java, Git","Data Structures and Algorithms:A,Web Development:A-,Operating Systems:C","NLP Chatbot: Python, NLTK, Flask",,1,Data Analyst
MBA,Marketing,8.33,77.8,94.1,"Google Analytics, Social Media, SEO, Content Strategy","Digital Marketing:A-,Consumer Behavior:B,Marketing Management:A+,Market Research:A-","E-commerce API: Node.js, Express, MongoDB",Software Developer:2 months; Backend Developer:1 months,0,Marketing Specialist
B.Tech,Data Science,8.11,78.7,88.6,"Python, Power BI, Tableau, SQL, R","Data Mining:B+,Machine Learning:A,Linear Algebra:A-","NLP Chatbot: Python, NLTK, Flask; Customer Segmentation: Python, Scikit-learn, K-means",,6,AI Engineer
B.Tech,Civil Engineering,7.46,74.3,91.6,"Project Management, Site Supervision, Estimation","Construction Management:B+,AutoCAD:A+,STAAD Pro:A+,Structural Analysis:B,Geotechnical Engineering:A","Smart City Drainage: STAAD Pro, Surveying",Site Engineer:3 months,6,Civil Engineer
